CSC_marker,CSC_marker_position,Other_interactor,Other_interactor_position,Interaction_score
PABPC1L,134,KIF20A,48,0.27
CBX5,7,AURKC,2,0.213
CBX5,7,SMC1B,1,0.171
CBX5,7,KIF20A,48,0.298
CBX5,7,DICER1,8,0.26
ASAP3,83,AP1B1,76,0.167
RAC2,124,AP1B1,76,0.175
RAC2,124,EXOC5,12,0.15
RAC2,124,PDE6D,64,0.681
ERI1,94,DICER1,8,0.746
DDX55,9,CEBPZ,123,0.368
DDX55,9,DICER1,8,0.169
METTL7A,114,SMC1B,1,0.159
MAPK14,79,MAPKAPK5,43,0.499
TRIM13,27,DICER1,8,0.171
RAD52,136,CUL3,97,0.152
RAD52,136,SMC1B,1,0.225
MIB1,105,C1QC,14,0.175
MIB1,105,CUL3,97,0.167
MIB1,105,DNPEP,107,0.175
MIB1,105,KBTBD12,10,0.151
MIB1,105,KIF20A,48,0.154
MIB1,105,KLHL6,131,0.151
MIB1,105,TMEM203,109,0.177
GNAI1,28,ADH1B,82,0.157
GNAI1,28,PDE6D,64,0.213
GNAI1,28,KIF20A,48,0.318
AHNAK,137,KIF20A,48,0.27
ARL14,44,AP1B1,76,0.175
ARL14,44,PDE6D,64,0.217
SLC12A4,93,SCN5A,128,0.169
YES1,36,CLIC2,3,0.524
YES1,36,KIF20A,48,0.317
VRK2,121,ANKLE2,135,0.151
VRK2,121,BAZ1B,54,0.165
VRK2,121,SMC1B,1,0.209
TLR5,66,DICER1,8,0.163
NEDD1,108,KIF20A,48,0.177
TXNIP,40,GTPBP2,13,0.154
TXNIP,40,PARP3,69,0.179
UCHL1,63,KIF20A,48,0.281
IFI30,133,ADH1B,82,0.406
IFI30,133,GTPBP2,13,0.277
IL13RA2,129,HIP1R,38,0.189
AP2B1,87,KIF20A,48,0.281
CENPK,15,SMC1B,1,0.165
CENPK,15,KIF20A,48,0.244
PYGB,88,PPP1R3B,74,0.369
KCTD14,98,GTPBP2,13,0.208
BOP1,113,CEBPZ,123,0.368
BOP1,113,HIP1R,38,0.27
BOP1,113,KIF20A,48,0.27
NSFL1C,17,AURKC,2,0.247
NSFL1C,17,CUL3,97,0.289
NSFL1C,17,ITPA,73,0.272
E2F3,65,BAZ1B,54,0.167
